ACT2 RD29A 0.793
ACT2 EM1 0.411
ACT2 RD22 0.579
ACT2 APX2 0.612
ACT2 SRK2D 0.417
ACT2 MYC2 0.598
ACT2 ZAT12 0.417
ACT2 COR15A 0.716
ACT2 APX3 0.625
ACT2 NRPE1 0.625
ACT2 HTR12 0.89
ACT2 Q8RWS0_ARATH 0.643
ACT2 WRKY33 0.457
ACT2 SWC4 0.591
ACT2 NAC072 0.455
ACT2 SRK2E 0.56
ACT2 ARP5 0.668
ACT2 T27K22.4 0.411
ACT2 ZAT10 0.42
ACT2 WRKY40 0.404
ACT2 HDA6 0.426
ACT2 HTA9 0.441
ACT2 SCRM 0.442
ACT2 F16L2_40 0.454
ACT2 T16K5.180 0.467
ACT2 CDC73 0.467
ACT2 K9I9.20 0.467
ACT2 KEG 0.533
ACT2 HSP70-4 0.552
ACT2 NCED3 0.626
ACT2 CP1 0.628
ACT2 HMGB10 0.648
ACT2 HMGB9 0.648
ACT2 HMGB15 0.648
ACT2 HMGB11 0.648
ACT2 BZIP8 0.652
ACT2 RIN1 0.7
ACT2 T6J4.12 0.867
ACT2 HTR11 0.868
ACT2 F10A5.19 0.868
ACT2 MGH3 0.874
ACT2 T24H18.80 0.877
ACT7 SYD 0.766
ACT7 SWC2 0.41
ACT7 MBK5.18 0.407
ACT7 CBL4 0.493
ACT7 DREB2A 0.535
ACT7 CAM1 0.545
ACT7 CAM2 0.52
ACT7 CML10 0.5
ACT7 COR47 0.433
ACT7 AP2 0.668
ACT7 CDC73 0.41
ACT7 T27K22.4 0.411
ACT7 F16L2_40 0.454
ACT7 SRK2E 0.456
ACT7 APX1 0.463
ACT7 K9I9.20 0.467
ACT7 T16K5.180 0.467
ACT7 RD22 0.488
ACT7 ARF7 0.505
ACT7 CAM6 0.507
ACT7 APX3 0.509
ACT7 NCED3 0.516
ACT7 KEG 0.516
ACT7 CAM7 0.539
ACT7 NRPE1 0.539
ACT7 MYC2 0.543
ACT7 BZIP8 0.548
ACT7 CP1 0.59
ACT7 SWC4 0.591
